v_drive [km/h]	stg	PKW	LNF	LKW	LSZ	RB	SB	MR-2T	MR-4T	KKR	Free
40	20	-0.001791196	-0.001363076	0	0	0	0	-5.22284E-05	-4.67224E-05	0	0
45	-20	-1.527533652	-1.529030877	-1.607676113	-1.734222986	-1.659536959	-1.673925172	-1.092797619	-1.092797619	-0.817662675	0
45	-15	-1.061093737	-1.064272797	-1.139122866	-1.263713987	-1.190284046	-1.188838702	-0.702497229	-0.702497229	-0.45022126	0
45	-10	-0.617351017	-0.620411285	-0.680124071	-0.798283899	-0.728864406	-0.715513412	-0.378740788	-0.378740788	-0.231459382	0
45	-6	-0.31222995	-0.315446509	-0.337405657	-0.443844473	-0.382305535	-0.380010496	-0.221478267	-0.221478267	-0.139078014	0
45	-4	-0.198147736	-0.20088686	-0.190952846	-0.283901218	-0.228828009	-0.238636622	-0.171870819	-0.171870819	-0.106244986	0
45	-2	-0.130186635	-0.132246591	-0.095303714	-0.145982753	-0.110915288	-0.144313218	-0.13406903	-0.13406903	-0.07907894	0
45	0	-0.087893479	-0.089514826	-0.05368429	-0.070857541	-0.058458831	-0.086934499	-0.103825584	-0.103825584	-0.061461779	0
45	2	-0.061518757	-0.062680838	-0.030936817	-0.037449884	-0.032237366	-0.0466427	-0.078473422	-0.078473422	-0.040266021	0
45	4	-0.044549295	-0.04412326	-0.017119117	-0.015750365	-0.017361113	-0.018741145	-0.06179551	-0.06179551	-0.023886185	0
45	6	-0.03228738	-0.03215197	-0.009241867	-0.00149328	-0.00836772	0	-0.046359501	-0.046359501	-0.003353196	0
45	10	-0.016426739	-0.014804885	-0.001517912	0	-9.44615E-05	0	-0.006504161	-0.006504161	0	0
45	15	-0.00610659	-0.005174929	0	0	0	0	-0.000663482	-0.000663482	0	0
45	20	-0.001787654	-0.001212423	0	0	0	0	0	0	0	0
50	-20	-1.554248315	-1.544025607	-1.640802419	-1.771782446	-1.700153004	-1.656751135	-1.097366839	-1.097366839	-0.789827593	0
50	-15	-1.078030061	-1.069673686	-1.161869304	-1.291565781	-1.220750909	-1.176632453	-0.681561423	-0.681561423	-0.407145361	0
50	-10	-0.621098654	-0.614524068	-0.689949506	-0.81480946	-0.747164411	-0.705957199	-0.348093202	-0.348093202	-0.198480139	0
50	-6	-0.30407879	-0.300051022	-0.333839301	-0.448349008	-0.387178896	-0.364982561	-0.194541969	-0.194541969	-0.113891377	0
50	-4	-0.185197119	-0.185071776	-0.178988551	-0.277550339	-0.224884802	-0.220871219	-0.148930631	-0.148930631	-0.08411178	0
50	-2	-0.117447659	-0.117806986	-0.083184336	-0.132087594	-0.100126689	-0.127485567	-0.113513186	-0.113513186	-0.061454911	0
50	0	-0.076978652	-0.077422402	-0.043587014	-0.05996837	-0.047542771	-0.076501933	-0.087069893	-0.087069893	-0.042856091	0
50	2	-0.05272582	-0.053539516	-0.023863085	-0.029488337	-0.02550256	-0.041732989	-0.066121904	-0.066121904	-0.028129016	0
50	4	-0.038137888	-0.036725273	-0.013402011	-0.011035674	-0.013193284	-0.01594408	-0.049728096	-0.049728096	-0.013814878	0
50	6	-0.027641661	-0.027145526	-0.006906923	0	-0.005229487	0	-0.036390482	-0.036390482	0	0
50	10	-0.01455931	-0.012942521	-0.000598492	0	0	0	-0.001100659	-0.001100659	0	0
50	15	-0.005647074	-0.004739691	0	0	0	0	0	0	0	0
50	20	-0.001784112	-0.00106177	0	0	0	0	0	0	0	0
55	-20	-1.572875744	-1.552197044	-1.647889998	-1.78132699	-1.712601688	-1.639577098	-1.040086029	-1.040086029	-0.71165001	0
55	-15	-1.088679937	-1.071173563	-1.166449012	-1.299051549	-1.230821055	-1.164426203	-0.619093716	-0.619093716	-0.335740725	0
55	-10	-0.621307403	-0.606446385	-0.689384416	-0.819032887	-0.752786332	-0.696400986	-0.296253898	-0.296253898	-0.160034656	0
55	-6	-0.294959771	-0.284464735	-0.322852954	-0.444992957	-0.383317983	-0.349954627	-0.161033182	-0.161033182	-0.090059494	0
55	-4	-0.173365274	-0.169531783	-0.160733253	-0.268202959	-0.213477322	-0.203105817	-0.121901718	-0.121901718	-0.066179316	0
55	-2	-0.105701215	-0.10433795	-0.064820898	-0.115231966	-0.082475233	-0.110657917	-0.094058345	-0.094058345	-0.046255642	0
55	0	-0.066406536	-0.065976913	-0.031872508	-0.045175155	-0.034799714	-0.066069367	-0.071261749	-0.071261749	-0.032077638	0
55	2	-0.04366158	-0.044346558	-0.017039959	-0.020953919	-0.017404088	-0.036823278	-0.052660256	-0.052660256	-0.01824557	0
55	4	-0.030921725	-0.028758463	-0.00893682	-0.006991638	-0.00887462	-0.013147015	-0.040331761	-0.040331761	-0.005301601	0
55	6	-0.022029131	-0.021650933	-0.004567218	0	-0.002940809	0	-0.0283593	-0.0283593	0	0
55	10	-0.011635931	-0.010229006	0	0	0	0	0	0	0	0
55	15	-0.004539302	-0.003826303	0	0	0	0	0	0	0	0
55	20	-0.001429578	-0.000841287	0	0	0	0	0	0	0	0
60	-20	-1.582544461	-1.550214939	-1.654359086	-1.791610643	-1.725019692	-1.62240306	-0.981793159	-0.981793159	-0.639119379	0
60	-15	-1.093755864	-1.065365499	-1.170073724	-1.306835517	-1.240545296	-1.152219953	-0.561221807	-0.561221807	-0.272117879	0
60	-10	-0.619447035	-0.594545422	-0.688082775	-0.823320964	-0.75814376	-0.686844773	-0.254068189	-0.254068189	-0.127153677	0
60	-6	-0.284868371	-0.267059376	-0.31246842	-0.442489436	-0.380337773	-0.334926692	-0.135037435	-0.135037435	-0.070563625	0
60	-4	-0.161260621	-0.153269386	-0.143949432	-0.260036048	-0.203581991	-0.185340414	-0.101205878	-0.101205878	-0.051290852	0
60	-2	-0.09442158	-0.091429051	-0.048486969	-0.100914805	-0.067247784	-0.093830266	-0.078008669	-0.078008669	-0.033934688	0
60	0	-0.057353354	-0.056199321	-0.021538642	-0.032772757	-0.024418803	-0.055636802	-0.058684551	-0.058684551	-0.022530131	0
60	2	-0.036584775	-0.03704529	-0.010967415	-0.013200802	-0.011086462	-0.031913567	-0.043160884	-0.043160884	-0.011201348	0
60	4	-0.025432478	-0.023479551	-0.005445266	-0.002892959	-0.005205482	-0.007346997	-0.033129429	-0.033129429	0	0
60	6	-0.017834484	-0.017605554	-0.002513985	0	-0.001349711	0	-0.02252306	-0.02252306	0	0
60	10	-0.009350369	-0.008435632	0	0	0	0	0	0	0	0
60	15	-0.003627371	-0.003398124	0	0	0	0	0	0	0	0
60	20	-0.001244184	-0.000629687	0	0	0	0	0	0	0	0
65	-20	-1.583097067	-1.53742526	-1.660188812	-1.802658349	-1.737405981	-1.605229023	-0.938716419	-0.938716419	-0.572179565	0
65	-15	-1.093351666	-1.051549455	-1.172711211	-1.314927749	-1.249911958	-1.140013703	-0.521534716	-0.521534716	-0.216135113	0
65	-10	-0.615635334	-0.578339015	-0.686019724	-0.827675872	-0.763227767	-0.67728856	-0.231937231	-0.231937231	-0.099892697	0
65	-6	-0.273667499	-0.247431376	-0.302706009	-0.440865454	-0.378267987	-0.319898758	-0.12202873	-0.12202873	-0.055224089	0
65	-4	-0.148549663	-0.136115665	-0.128684132	-0.253080973	-0.195246958	-0.167575012	-0.090639331	-0.090639331	-0.039901252	0
65	-2	-0.083487234	-0.079014969	-0.034239362	-0.089493458	-0.05449251	-0.077002615	-0.06721939	-0.06721939	-0.023832187	0
65	0	-0.049965829	-0.048210651	-0.012613752	-0.02295557	-0.016744118	-0.045204236	-0.050593301	-0.050593301	-0.012832082	0
65	2	-0.031823329	-0.031846005	-0.00564599	-0.00665005	-0.006629348	-0.027003856	-0.038447123	-0.038447123	0	0
65	4	-0.022026066	-0.021706474	-0.002930962	-0.000488001	-0.002392195	-0.000755002	-0.028470212	-0.028470212	0	0
